DWAO.DFO;SDM_HABITAT;NEFSC_SPRING;NEFSC_FALL;DWAO.NFALL;CPUE;NEFSC_FALL_REP_POT;GEORGES_ABUNDANCE;DFO_ABUNDANCE;NEFSC_SPRING_REP_POT;DWAO.GEORGES;TEMP_SUMM_DFO;GEORGES_REP_POT;TEMP_NEFSC_SPRING;TEMP_NEFSC_FALL;DWAO.NSPR;GEORGES_GINI;DFO_REP_POT;AMO;TEMP_SPR_GEORGES;NEFSC_SPRING_MAXL;DFO_PREDATOR_ABUNDANCE;GEORGES_MAXL;NEFSC_SPRING_GINI;NEFSC_SPRING_MEDL;NEFSC_FALL_MEDL;DFO_MAXL;NEFSC_FALL_MAXL;GEORGES_MEDL;DFO_MEDL;NEFSC_FALL_GINI;DFO_GINI
1970;NA;-0.739271950408587;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.2480050848229;NA;-1.04797607678987;-1.51053404890912;NA;NA;NA;-0.370358163346391;NA;NA;0.385162879313404;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1971;NA;-0.60878151542875;-1.56990975790651;NA;NA;NA;NA;NA;NA;-2.01037670708473;NA;-0.429334891496398;NA;-1.2914723705584;-0.148790900600447;-1.51544323033967;NA;NA;-1.39940701989274;NA;0.640199932148628;-0.801494833564725;NA;0.814917311259724;-0.234878785302214;NA;NA;NA;NA;NA;NA;NA
1972;NA;-0.892853764247786;-0.857102083402994;NA;NA;NA;NA;NA;NA;-0.805691204624252;NA;-0.530585862249559;NA;-0.177861973900294;-0.0155101708467822;-0.944110545810624;NA;NA;-1.60554464428255;NA;1.08152924707662;-2.01865448089273;NA;1.58429876674858;0.538502580936782;NA;NA;NA;NA;NA;NA;NA
1973;-2.15954961038567;-1.12734618100729;NA;NA;NA;NA;NA;NA;-1.27377354973071;NA;NA;0.973990563928881;NA;0.689311436348651;0.250826107515531;NA;NA;NA;-0.930577114719893;NA;NA;-0.150699074502345;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.13072364658327
1974;NA;-0.852567142922422;NA;-0.95031127004592;-1.24819621874126;NA;-0.881820360022352;NA;NA;NA;NA;0.940387696454859;NA;1.560718642696;0.919918176547887;NA;NA;NA;-1.93790570468044;NA;NA;0.624017492602105;NA;NA;NA;1.84908897169899;NA;1.97805424845002;NA;NA;1.54360466149665;NA
1975;NA;-0.491401129174254;-0.9679286100365;NA;NA;NA;NA;NA;NA;-1.18391316555611;NA;-0.870302993623458;NA;0.20525763818971;-0.170574382223863;-1.42023061748385;NA;NA;-1.34080328174614;NA;-1.41933687084866;-0.228182098807123;NA;1.46032256761145;0.383826307688983;NA;NA;NA;NA;NA;NA;NA
1976;NA;-0.264376452383555;-0.975497226543427;NA;NA;NA;NA;NA;NA;-1.03605798951303;NA;1.34272223725825;NA;0.699274966782965;0.562934576356493;-0.700005324620399;NA;NA;-1.66127966797443;NA;-0.757342898456676;-1.58791441658703;NA;0.664606797561018;0.0744737611933847;NA;NA;NA;NA;NA;NA;NA
1977;NA;0.380671536929317;0.129350678239132;-0.722925250480732;-0.429849392785405;NA;-0.860280158554847;NA;NA;0.415782972942457;NA;-0.62794313993524;NA;-0.292520224924577;0.0971958037355267;-0.967663459798056;NA;NA;-0.803943862361143;NA;1.37574879036195;1.92179157541275;NA;1.7884428426219;1.00253140068018;0.373026625527129;NA;1.72101895062883;NA;NA;0.236862050731954;NA
1978;NA;0.117634537556919;-1.23078555049208;-0.682605131224514;-0.692877742767897;NA;-0.943710689515565;NA;NA;-1.46117774760574;NA;-0.922796039935736;NA;-1.44562038833195;-0.860444959214524;-1.3188432537611;NA;NA;-0.756814982033454;NA;-1.19867221338467;-0.776336808336688;NA;-0.910784517591485;-0.544231331797812;0.373026625527129;NA;-0.785075203127759;NA;NA;0.791545034254514;NA
1979;NA;-0.701232645075336;NA;-0.953430857873995;-0.983681678623074;NA;-1.62038732611225;NA;NA;NA;NA;0.0273308529245746;NA;-0.61361810437882;0.387362292342983;NA;NA;NA;-0.415847778271378;NA;NA;-1.14706461145312;NA;NA;NA;1.29556559188454;NA;-0.656557554217165;NA;NA;0.176806426386812;NA
